suite,space_preset,instance_id,seed_transpiler,optimization_level,layout_method,seed_simulator,shots,method,score,transpiled_depth,transpiled_size
day2_large,compilation_only,ring8,4,2,sabre,0,1024,QAOA_p1,4.21875,52,128
day2_large,compilation_only,ring8,4,3,trivial,0,1024,QAOA_p1,4.099609375,50,119
day2_large,compilation_only,ring8,4,3,sabre,0,1024,QAOA_p1,4.21875,52,128
day2_large,compilation_only,ring8,5,0,trivial,0,1024,QAOA_p1,4.150390625,47,114
day2_large,compilation_only,ring8,5,0,sabre,0,1024,QAOA_p1,4.125,53,114
day2_large,compilation_only,ring8,5,1,trivial,0,1024,QAOA_p1,4.1015625,44,114
day2_large,compilation_only,ring8,5,1,sabre,0,1024,QAOA_p1,4.125,53,114
day2_large,compilation_only,ring8,5,2,trivial,0,1024,QAOA_p1,4.1015625,44,119
day2_large,compilation_only,ring8,5,2,sabre,0,1024,QAOA_p1,4.125,63,146
day2_large,compilation_only,ring8,5,3,trivial,0,1024,QAOA_p1,4.1015625,44,119
day2_large,compilation_only,ring8,5,3,sabre,0,1024,QAOA_p1,4.125,63,146
day2_large,compilation_only,ring8,6,0,trivial,0,1024,QAOA_p1,4.150390625,47,114
day2_large,compilation_only,ring8,6,0,sabre,0,1024,QAOA_p1,4.154296875,53,114
day2_large,compilation_only,ring8,6,1,trivial,0,1024,QAOA_p1,4.150390625,47,114
day2_large,compilation_only,ring8,6,1,sabre,0,1024,QAOA_p1,4.23046875,53,114
day2_large,compilation_only,ring8,6,2,trivial,0,1024,QAOA_p1,4.150390625,47,119
day2_large,compilation_only,ring8,6,2,sabre,0,1024,QAOA_p1,4.23046875,58,128
day2_large,compilation_only,ring8,6,3,trivial,0,1024,QAOA_p1,4.150390625,47,119
day2_large,compilation_only,ring8,6,3,sabre,0,1024,QAOA_p1,4.1640625,66,136
day2_large,compilation_only,ring8,7,0,trivial,0,1024,QAOA_p1,4.099609375,50,114
day2_large,compilation_only,ring8,7,0,sabre,0,1024,QAOA_p1,4.125,56,114
day2_large,compilation_only,ring8,7,1,trivial,0,1024,QAOA_p1,4.099609375,50,114
day2_large,compilation_only,ring8,7,1,sabre,0,1024,QAOA_p1,4.125,56,114
